ItemId,Channel,ScrapDate,SalesCount,SalePrice,OriginalPrice,Discount
ROC-70037-00022,Blibli,2023-01-01,64,2473000,2882000,14
ROC-70037-00022,Blibli,2023-01-02,64,2473000,2882000,14
ROC-70037-00022,Blibli,2023-01-03,64,2473000,2882000,14
ROC-70037-00022,Blibli,2023-01-04,0,0,0,0
ROC-70037-00022,Blibli,2023-01-05,0,0,0,0
ROC-70037-00022,Blibli,2023-01-06,0,0,0,0
ROC-70037-00022,Blibli,2023-01-07,0,0,0,0
ROC-70037-00022,Blibli,2023-01-08,0,0,0,0
ROC-70037-00022,Blibli,2023-01-09,64,2498000,2776000,10
ROC-70037-00022,Blibli,2023-01-10,64,2498000,2776000,10
SAO-60034-00553,Blibli,2023-01-01,3961,1375000,1399000,2
SAO-60034-00553,Blibli,2023-01-02,3961,1375000,1399000,2
SAO-60034-00553,Blibli,2023-01-03,0,0,0,0
SAO-60034-00553,Blibli,2023-01-04,0,0,0,0
SAO-60034-00553,Blibli,2023-01-05,0,0,0,0
SAO-60034-00553,Blibli,2023-01-06,0,0,0,0
SAO-60034-00553,Blibli,2023-01-07,3961,1375000,1399000,2
SAO-60034-00553,Blibli,2023-01-08,3961,1375000,1399000,2
SAO-60034-00553,Blibli,2023-01-09,3961,1375000,1399000,2
SAO-60034-00553,Blibli,2023-01-10,3961,1375000,1399000,2
5021636818,Lazada,2023-01-01,2.7K,472000,475000,0
5021636818,Lazada,2023-01-03,0,470000,475000,1
5021636818,Lazada,2023-01-04,2.7K,485000,485000,0
5021636818,Lazada,2023-01-05,2.7K,485000,485000,0
5021636818,Lazada,2023-01-06,2700,485000,485000,0
5021636818,Lazada,2023-01-07,2700,485000,485000,0
5021636818,Lazada,2023-01-08,2700,485000,485000,0
5021636818,Lazada,2023-01-09,2.7K,485000,485000,0
5021636818,Lazada,2023-01-10,2.8K,485000,485000,0
6267002762,Lazada,2023-01-01,1.5K,996000,1839000,46
6267002762,Lazada,2023-01-03,1.5K,996000,1839000,46
6267002762,Lazada,2023-01-04,1.5K,999000,1839000,46
6267002762,Lazada,2023-01-05,1.5K,999000,1839000,46
6267002762,Lazada,2023-01-06,1525,999000,1839000,46
6267002762,Lazada,2023-01-07,1550,999000,1839000,46
6267002762,Lazada,2023-01-08,1575,999000,1839000,46
6267002762,Lazada,2023-01-09,1.6K,999000,1839000,46
6267002762,Lazada,2023-01-10,1.6K,999000,1839000,46
14368884967,Shopee,2023-01-01,10,2399000,2638900,10
14368884967,Shopee,2023-01-03,10,2325000,2557500,10
14368884967,Shopee,2023-01-05,10,2325000,2557500,10
14368884967,Shopee,2023-01-06,10,2325000,2557500,10
14368884967,Shopee,2023-01-07,10,2325000,2557500,10
14368884967,Shopee,2023-01-08,10,2325000,2557500,10
14368884967,Shopee,2023-01-09,10,2325000,2557500,10
14368884967,Shopee,2023-01-10,10,2325000,2557500,10
16591038433,Shopee,2023-01-01,1,21499000,23648900,10
16591038433,Shopee,2023-01-02,1,21499000,23648900,10
16591038433,Shopee,2023-01-03,1,21499000,23648900,10
16591038433,Shopee,2023-01-04,2,21499000,23648900,10
16591038433,Shopee,2023-01-07,2,21499000,23648900,10
16591038433,Shopee,2023-01-08,2,21499000,23648900,10
16591038433,Shopee,2023-01-09,4,21499000,23648900,10
16591038433,Shopee,2023-01-10,4,21499000,23648900,10
1729382312816379782,Tiktok,2023-01-01,430,Rp88.999,Rp119.000,-25%
1729382312816379782,Tiktok,2023-01-02,431,Rp88.999,Rp119.000,-25%
1729382312816379782,Tiktok,2023-01-03,430,Rp88.999,Rp119.000,-25%
1729382312816379782,Tiktok,2023-01-04,431,Rp88.999,Rp119.000,-25%
1729382312816379782,Tiktok,2023-01-05,431,Rp88.999,Rp119.000,-25%
1729382312816379782,Tiktok,2023-01-06,431,Rp88.999,Rp119.000,-25%
1729382312816379782,Tiktok,2023-01-07,431,Rp88.999,Rp119.000,-25%
1729382312816379782,Tiktok,2023-01-08,432,Rp88.999,Rp119.000,-25%
1729382312816379782,Tiktok,2023-01-09,432,Rp88.999,Rp119.000,-25%
1729382312816379782,Tiktok,2023-01-10,432,Rp88.999,Rp119.000,-25%
1730703042866349804,Tiktok,2023-01-01,48,Rp76.472,Rp86.900,-12%
1730703042866349804,Tiktok,2023-01-02,48,Rp82.365,Rp96.900,-15%
1730703042866349804,Tiktok,2023-01-03,47,Rp73.200,Rp91.500,-20%
1730703042866349804,Tiktok,2023-01-04,47,Rp67.160,Rp92.000,-27%
1730703042866349804,Tiktok,2023-01-05,51,Rp67.160,Rp92.000,-27%
1730703042866349804,Tiktok,2023-01-06,53,Rp67.000,Rp134.000,-50%
1730703042866349804,Tiktok,2023-01-07,57,Rp67.000,Rp134.000,-50%
1730703042866349804,Tiktok,2023-01-08,57,0,0,0
1730703042866349804,Tiktok,2023-01-09,61,0,0,0
1730703042866349804,Tiktok,2023-01-10,71,Rp62.500,Rp125.000,-50%
547609519,Tokopedia,2023-01-01,27573,52900,59900,12
547609519,Tokopedia,2023-01-02,27574,52900,59900,12
547609519,Tokopedia,2023-01-03,27577,52900,59900,12
547609519,Tokopedia,2023-01-04,27584,52900,59900,12
547609519,Tokopedia,2023-01-05,27589,52900,59900,12
547609519,Tokopedia,2023-01-06,1,52900,59900,12
547609519,Tokopedia,2023-01-07,1,52900,59900,12
547609519,Tokopedia,2023-01-08,1,52900,59900,12
547609519,Tokopedia,2023-01-09,1,52900,59900,12
547609519,Tokopedia,2023-01-10,27601,52900,59900,12
10316876038,Tokopedia,2023-01-01,599,145000,145000,0
10316876038,Tokopedia,2023-01-02,599,145000,145000,0
10316876038,Tokopedia,2023-01-03,599,145000,145000,0
10316876038,Tokopedia,2023-01-04,599,145000,145000,0
10316876038,Tokopedia,2023-01-05,603,145000,145000,0
10316876038,Tokopedia,2023-01-06,5,159500,159500,0
10316876038,Tokopedia,2023-01-07,5,159500,159500,0
10316876038,Tokopedia,2023-01-08,5,159500,159500,0
10316876038,Tokopedia,2023-01-09,5,159500,159500,0
10316876038,Tokopedia,2023-01-10,640,159500,159500,0